N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;6;Mme BELLAREDJ Fatima;45
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;7;Mme RESSIGUIER Muriel;6
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;8;M. DALMAU Flavio;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;10;Mme BRIOT Valérie;7
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;11;Mme MANGANO Flavia;12
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;12;M. ASSIE Frédéric;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;13;Mme BRISSAUD Anne;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;14;Mme YAGUE Annie;85
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;15;Mme DEFRETIN Sophie;10
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;16;M. LECHAT Philippe;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;1;M. BENALI Mahfoud;6
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;2;Mme OZIOL Nathalie;267
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;3;Mme ZBAIRI Kadija;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;4;M. ROQUE Manuel;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;5;M. MICHEL Didier;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;6;Mme BELLAREDJ Fatima;74
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;7;Mme RESSIGUIER Muriel;19
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;6;Ecole élémentaire Lamartine;2;05;1067;498;3;4;491;28;8;M. DALMAU Flavio;2
